iter	Passed	Remaining
0	6	6740
1	14	7272
2	21	7016
3	29	7266
4	35	7105
5	46	7764
6	53	7626
7	62	7694
8	68	7550
9	76	7592
10	82	7459
11	91	7523
12	98	7447
13	104	7359
14	112	7363
15	119	7341
16	126	7327
17	133	7282
18	140	7271
19	147	7246
20	154	7219
21	163	7263
22	170	7228
23	177	7214
24	184	7200
25	191	7180
26	200	7215
27	208	7225
28	214	7192
29	221	7176
30	228	7148
31	236	7143
32	243	7133
33	250	7107
34	258	7130
35	265	7096
36	272	7097
37	279	7069
38	286	7062
39	293	7033
40	299	7002
41	307	7004
42	313	6981
43	321	6974
44	327	6950
45	334	6935
46	340	6913
47	348	6916
48	357	6931
49	364	6922
50	371	6914
51	378	6896
52	385	6890
53	392	6879
54	399	6870
55	407	6861
56	413	6846
57	421	6845
58	428	6833
59	436	6841
60	443	6831
61	452	6846
62	460	6851
63	471	6891
64	478	6877
65	488	6910
66	495	6893
67	504	6912
68	511	6899
69	520	6917
70	527	6900
71	537	6922
72	543	6907
73	553	6921
74	559	6905
75	570	6935
76	576	6914
77	586	6937
78	593	6923
79	603	6939
80	610	6927
81	619	6940
82	626	6923
83	635	6931
84	642	6917
85	651	6926
86	659	6918
87	670	6952
88	677	6937
89	687	6955
90	694	6939
91	704	6949
92	710	6932
93	720	6945
94	727	6928
95	736	6939
96	743	6923
97	754	6948
98	764	6957
99	772	6952
100	781	6955
101	788	6941
102	798	6953
103	805	6937
104	814	6942
105	821	6926
106	830	6933
107	837	6919
108	846	6923
109	853	6909
110	862	6908
111	869	6895
112	876	6883
113	887	6897
114	896	6900
115	903	6887
116	911	6881
117	919	6870
118	926	6860
119	934	6852
120	941	6836
121	950	6841
122	957	6825
123	965	6820
124	972	6804
125	982	6811
126	988	6795
127	996	6789
128	1003	6775
129	1012	6778
130	1019	6762
131	1027	6757
132	1034	6741
133	1043	6745
134	1050	6730
135	1058	6725
136	1065	6711
137	1072	6698
138	1083	6708
139	1089	6692
140	1097	6685
141	1103	6669
142	1113	6675
143	1121	6663
144	1129	6658
145	1136	6645
146	1147	6660
147	1154	6647
148	1162	6640
149	1169	6626
150	1178	6627
151	1185	6612
152	1196	6622
153	1205	6624
154	1213	6615
155	1219	6600
156	1228	6595
157	1235	6582
158	1242	6574
159	1249	6561
160	1257	6554
161	1264	6540
162	1272	6533
163	1279	6520
164	1286	6510
165	1294	6506
166	1301	6493
167	1309	6485
168	1316	6473
169	1323	6464
170	1330	6452
171	1339	6446
172	1345	6432
173	1352	6419
174	1359	6411
175	1366	6397
176	1374	6391
177	1380	6377
178	1388	6370
179	1395	6357
180	1402	6347
181	1410	6339
182	1416	6325
183	1424	6317
184	1431	6304
185	1438	6294
186	1444	6281
187	1451	6271
188	1458	6258
189	1464	6244
190	1471	6234
191	1478	6222
192	1486	6214
193	1492	6201
194	1499	6189
195	1507	6181
196	1513	6169
197	1520	6159
198	1527	6147
199	1534	6137
200	1541	6126
201	1549	6120
202	1556	6110
203	1562	6098
204	1570	6088
205	1576	6076
206	1582	6063
207	1590	6056
208	1596	6043
209	1604	6034
210	1610	6023
211	1617	6013
212	1625	6004
213	1631	5992
214	1638	5983
215	1645	5971
216	1653	5964
217	1660	5954
218	1667	5945
219	1673	5933
220	1679	5920
221	1688	5915
222	1694	5903
223	1701	5895
224	1708	5883
225	1714	5872
226	1722	5864
227	1728	5852
228	1735	5843
229	1741	5831
230	1749	5822
231	1755	5811
232	1762	5800
233	1769	5791
234	1776	5781
235	1783	5772
236	1789	5761
237	1796	5751
238	1803	5742
239	1810	5732
240	1817	5722
241	1823	5713
242	1830	5702
243	1838	5695
244	1844	5684
245	1852	5676
246	1858	5666
247	1866	5658
248	1872	5648
249	1880	5641
250	1887	5631
251	1893	5621
252	1901	5613
253	1907	5602
254	1914	5593
255	1921	5583
256	1928	5575
257	1937	5571
258	1945	5565
259	1953	5559
260	1960	5552
261	1968	5544
262	1974	5534
263	1982	5528
264	1989	5517
265	1996	5510
266	2004	5501
267	2012	5496
268	2019	5486
269	2026	5478
270	2034	5472
271	2041	5465
272	2049	5458
273	2057	5451
274	2064	5443
275	2072	5436
276	2080	5431
277	2088	5424
278	2098	5423
279	2106	5417
280	2118	5419
281	2127	5416
282	2136	5413
283	2145	5408
284	2152	5399
285	2160	5394
286	2167	5385
287	2176	5380
288	2183	5371
289	2191	5364
290	2199	5358
291	2206	5349
292	2215	5345
293	2221	5335
294	2230	5331
295	2238	5323
296	2246	5317
297	2253	5307
298	2261	5302
299	2268	5293
300	2277	5287
301	2284	5279
302	2292	5273
303	2301	5269
304	2311	5267
305	2319	5260
306	2329	5257
307	2336	5249
308	2345	5244
309	2352	5236
310	2360	5230
311	2367	5221
312	2376	5215
313	2383	5206
314	2391	5200
315	2398	5192
316	2407	5186
317	2414	5178
318	2421	5170
319	2429	5163
320	2436	5154
321	2445	5148
322	2452	5140
323	2460	5133
324	2466	5123
325	2474	5116
326	2480	5105
327	2490	5103
328	2497	5093
329	2504	5085
330	2511	5076
331	2518	5067
332	2525	5059
333	2533	5051
334	2541	5044
335	2547	5035
336	2555	5028
337	2563	5020
338	2570	5012
339	2578	5004
340	2584	4994
341	2592	4988
342	2598	4977
343	2606	4970
344	2613	4961
345	2620	4953
346	2627	4943
347	2633	4934
348	2642	4929
349	2649	4920
350	2657	4914
351	2664	4904
352	2671	4896
353	2678	4886
354	2685	4878
355	2691	4868
356	2698	4859
357	2705	4851
358	2711	4842
359	2719	4834
360	2725	4824
361	2732	4816
362	2739	4806
363	2747	4800
364	2755	4793
365	2762	4785
366	2769	4777
367	2776	4767
368	2782	4758
369	2789	4749
370	2796	4740
371	2803	4732
372	2810	4724
373	2818	4716
374	2825	4708
375	2832	4700
376	2839	4692
377	2846	4683
378	2853	4675
379	2860	4666
380	2869	4661
381	2875	4652
382	2885	4648
383	2892	4639
384	2900	4633
385	2907	4625
386	2915	4618
387	2922	4610
388	2929	4601
389	2936	4593
390	2943	4585
391	2951	4578
392	2960	4572
393	2967	4564
394	2975	4557
395	2984	4551
396	2990	4542
397	2998	4534
398	3005	4527
399	3013	4520
400	3021	4513
401	3028	4505
402	3036	4498
403	3043	4490
404	3052	4484
405	3058	4475
406	3067	4468
407	3073	4460
408	3082	4453
409	3089	4445
410	3096	4438
411	3104	4431
412	3112	4423
413	3120	4416
414	3128	4409
415	3135	4401
416	3142	4393
417	3151	4387
418	3157	4378
419	3165	4371
420	3172	4363
421	3181	4356
422	3187	4347
423	3194	4339
424	3202	4332
425	3211	4326
426	3217	4317
427	3224	4309
428	3231	4300
429	3238	4292
430	3245	4284
431	3252	4276
432	3259	4268
433	3265	4259
434	3273	4251
435	3281	4244
436	3288	4236
437	3295	4228
438	3302	4220
439	3309	4212
440	3316	4203
441	3322	4195
442	3329	4186
443	3336	4178
444	3343	4169
445	3349	4160
446	3356	4152
447	3363	4143
448	3369	4134
449	3377	4127
450	3383	4118
451	3391	4111
452	3398	4103
453	3405	4095
454	3412	4086
455	3418	4078
456	3426	4071
457	3432	4062
458	3440	4055
459	3446	4046
460	3453	4037
461	3460	4029
462	3466	4021
463	3474	4013
464	3480	4004
465	3488	3997
466	3495	3989
467	3502	3981
468	3509	3973
469	3516	3965
470	3523	3957
471	3530	3949
472	3537	3941
473	3544	3933
474	3551	3925
475	3558	3917
476	3565	3909
477	3572	3901
478	3579	3893
479	3586	3885
480	3593	3877
481	3600	3868
482	3608	3862
483	3614	3853
484	3622	3846
485	3629	3838
486	3636	3830
487	3643	3822
488	3649	3813
489	3656	3806
490	3663	3797
491	3670	3789
492	3676	3781
493	3684	3774
494	3691	3765
495	3697	3757
496	3705	3750
497	3712	3741
498	3719	3734
499	3725	3725
500	3732	3717
501	3739	3709
502	3747	3702
503	3754	3694
504	3761	3686
505	3768	3679
506	3775	3671
507	3782	3663
508	3788	3654
509	3795	3646
510	3803	3639
511	3810	3631
512	3816	3623
513	3823	3615
514	3830	3607
515	3837	3599
516	3844	3591
517	3851	3583
518	3858	3575
519	3864	3567
520	3871	3559
521	3877	3551
522	3885	3543
523	3891	3535
524	3899	3527
525	3906	3519
526	3912	3512
527	3921	3505
528	3928	3497
529	3937	3491
530	3944	3484
531	3954	3478
532	3961	3471
533	3970	3464
534	3977	3457
535	3986	3450
536	3994	3443
537	4003	3437
538	4011	3431
539	4021	3425
540	4028	3418
541	4035	3409
542	4042	3402
543	4049	3394
544	4056	3386
545	4063	3378
546	4069	3370
547	4077	3363
548	4085	3356
549	4092	3348
550	4101	3341
551	4108	3334
552	4117	3328
553	4125	3321
554	4133	3314
555	4140	3306
556	4149	3300
557	4156	3292
558	4165	3285
559	4173	3279
560	4182	3272
561	4191	3266
562	4200	3260
563	4207	3252
564	4217	3246
565	4224	3238
566	4233	3232
567	4240	3225
568	4249	3219
569	4256	3210
570	4264	3204
571	4271	3196
572	4280	3189
573	4287	3181
574	4295	3174
575	4302	3166
576	4310	3159
577	4317	3152
578	4326	3146
579	4336	3140
580	4344	3133
581	4351	3125
582	4359	3118
583	4367	3111
584	4375	3103
585	4382	3095
586	4388	3087
587	4396	3080
588	4403	3073
589	4412	3066
590	4419	3058
591	4427	3051
592	4434	3043
593	4442	3036
594	4449	3028
595	4457	3021
596	4464	3013
597	4471	3005
598	4479	2999
599	4486	2991
600	4494	2984
601	4501	2976
602	4509	2969
603	4516	2961
604	4524	2953
